marque;modele;annee;age_voiture;carburant;boite_vitesse;kilometrage;puissance_fiscale_cv;puissance_reelle_ch;prix;code_postal;url_annonce
Peugeot;208;2023;3;essence;Manuelle;39465;4;75;11999;16;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-75ch-s-s-active-pack-16430-champniers-128113
Peugeot;208;2021;5;essence;Manuelle;39708;4;75;10480;38;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-75ch-s-s-like-38000-grenoble-115622
Dacia;Duster;2022;4;gpl;Manuelle;79030;5;100;14999;51;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-0-eco-g-100ch-confort-4x2-51100-reims-048181
Peugeot;208;2024;2;essence;Automatique;14964;5;100;16999;84;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-84000-avignon-59470
Renault;Arkana;2023;3;essence;Automatique;24818;7;140;19499;59;https://www.autosphere.fr/fiche/auto-occasion-renault-arkana-1-3-tce-mild-hybrid-140ch-evolution-edc-22-59190-hazebrouck-350464
Renault;Captur;2025;1;essence;Automatique;2764;8;160;30999;62;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-3-tce-mild-hybrid-160ch-esprit-alpine-edc-62232-fouquieres-les-bethune-250623
Peugeot;208;2023;3;essence;Automatique;10841;5;100;15999;86;https://www.autosphere.fr/fiche/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-pack-eat8-86000-poitiers-12092457
Renault;Mégane;2023;3;électrique;Automatique;34943;4;220;23609;26;https://www.autosphere.fr/fiche4/auto-occasion-renault-megane-e-tech-electric-ev60-220ch-equilibre-optimum-charge-26000-valence-442198
Nissan;Qashqai;2019;7;essence;Manuelle;63944;7;140;15490;26;https://www.autosphere.fr/fiche4/auto-occasion-nissan-qashqai-1-3-dig-t-140ch-n-connecta-2019-euro6-evap-26000-valence-206561
Peugeot;208;2022;4;essence;Manuelle;33762;4;75;12499;60;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-puretech-75ch-s-s-active-pack-60740-saint-maximin-1020136
Dacia;Sandero;2025;1;essence;Manuelle;8378;5;90;17299;62;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-tce-90ch-journey-62232-fouquieres-les-bethune-250714
